Metrics,Participant_ID,Group_ID,T0,P1,T1,P2,T2,P3,T3,P4,T4,P5,T5
Correctness,56,1,1,1,0,1,0,0,0,1,0,1,1
Correctness,57,3,0,1,1,0,0,1,1,0,0,0,0
Time,1,1,44.42,30.42,36.58,53.23,24.25,30.89,25.03,20.31,34.46,43.38,52.73
Time,2,2,20.22,25.24,37.19,19.81,25.2,34.75,21.58,29.03,28.32,32.39,36.68
Time,3,3,29.27,43.54,33.21,28.2,9.36,21.08,34.47,7.88,25.98,20.93,18.87
Time,4,4,28.38,45.25,,7.26,33.38,19.49,32.91,37.37,11.77,6.34,3.26
Time,5,1,55.44,8.31,22.41,17.85,39.49,43.99,21.63,40.89,21.05,27.13,24.67
Time,6,2,34.2,33.31,,13.82,7.63,26.29,30.74,6.17,8.51,14.59,10.52
Time,7,3,22.17,52.5,,18.33,7.59,40.41,16.22,9.3,10.95,6.1,13.45
Time,8,4,49.27,30.41,,46.24,15.17,45.27,22.35,34.87,24.33,30.25,39.14
Time,9,1,30.47,16.37,35.21,12.14,7.17,28.49,17.4,14.81,18.05,27.27,21.56
Time,10,2,21.2,25.25,5.49,16.38,4.55,18.5,15.28,9.69,4.98,12.39,14.09
Time,11,3,38.16,25.2,5.49,21.41,8.88,36.08,5.14,13.37,20.52,9.33,19.98
Time,12,4,60,26.31,7.64,30.76,9.7,42.03,8.22,25.5,10.9,17.59,10.32
Time,13,1,40.48,36.22,,18.08,17.98,15.77,27.86,13.44,13.81,8.63,40.67
Time,14,2,51.49,10.53,37.74,17.85,37.58,11.66,28.43,15.04,31.05,25.15,28.18
Time,15,3,49.34,18.49,16.13,27.2,18.59,18.2,38.04,26.16,12.46,15.81,19.14
Time,16,3,28.21,14.69,26.99,17.02,21.55,30.67,19.46,15.85,38.81,14.19,16.37
Time,17,2,42.23,20.36,33.43,16.26,11.56,21.73,9.68,27.87,13.2,12.92,24.05
Time,18,4,35.43,14.97,6.91,14.24,6.45,17.38,14.63,30.97,14.88,6.12,11.5
Time,19,4,47.82,18.27,14.52,31.5,5,11.49,14.26,44.12,5.7,49.67,15.21
Time,21,1,40.87,8.42,31.27,31.48,20.48,14.64,22.24,21.38,18.94,,
Time,22,1,29.7,27.02,17.2,23.4,20.03,17.11,21.18,26.43,42.3,24.45,25.26
Time,23,4,38.29,50.53,7.98,27.39,23.94,30.35,15.22,28.96,14.57,27,18.2
Time,24,3,37.46,35.65,18.98,29.56,13.41,48.59,28.49,28.99,29.88,19.15,21.53
Time,25,2,39.01,32.37,34.89,25.24,15.84,,,,,,
Time,26,4,29.25,25.37,7.31,10.51,8.3,12.43,8.19,5.18,8.32,6.36,8.77
Time,27,1,15.47,25.53,23.33,7.32,14.36,16.4,10.47,11.45,8.02,6.6,18.63
Time,28,3,45.73,60,60,46.44,60,45.35,22.53,26.52,26.4,36.21,44.29
Time,29,2,56.93,47.32,60,56.12,62.61,44.23,35.55,33.34,35.19,49.53,34.52
Time,30,2,24.38,14.37,23.1,46.12,18.09,22.63,18.67,14.35,31.33,31.78,27.06
Time,31,1,58.75,19.11,13.07,12.08,24.52,25.23,23.38,9.55,17.44,24.95,24.48
Time,33,2,18.04,21.94,20.57,9.18,19.96,25.43,35.06,7.09,11.13,11.18,5.58
Time,34,3,29.47,21.21,17.10,23.04,19.18,26.09,18.19,17.40,25.33,30.25,16.04
Time,37,4,49.19,26.40,44.75,15.06,20.26,38.03,9.41,10.01,15.52,11.43,6.70
Time,38,3,37.09,30.42,20.37,44.68,43.33,54.24,46.17,36.48,37.13,58.16,36.89
Time,39,3,52.49,27.39,36.59,58.13,33.66,26.87,33.83,26.22,44.11,25.85,11.50
Time,41,1,54.21,23.43,33.60,48.23,32.28,26.27,35.27,35.26,31.18,47.33,42.16
Time,42,4,18.03,23.07,7.55,12.95,10.47,8.82,5.62,17.55,8.70,9.31,6.47
Time,46,2,34.40,33.85,28.10,12.51,30.40,19.12,26.33,28.44,32.38,28.72,16.05
Time,47,4,37.31,16.36,11.18,26.25,15.06,12.40,10.02,13.46,13.57,24.88,7.72
Time,51,1,55.47,22.04,46.32,15.75,28.31,5.59,28.92,28.37,47.12,10.32,19.30
Time,54,2,48.56,58.43,27.28,36.83,25.67,19.33,25.52,16.28,28.95,12.74,19.44
Time,56,1,45.24,31.37,29.40,13.94,19.06,35.32,37.54,16.87,29.23,5.58,16.05
Time,57,3,45.39,43.26,36.21,36.27,46.18,38.32,23.57,38.97,14.57,17.15,9.32
